barrio_num,manzana,barrio,manzana_25m1,manzana_25m2,manzana_25m3,manzana_25m4,manzana_25m5,manzana_25m6,manzana_25m7,manzana_25m8,manzana_25m9,manzana_25m10,manzana_25m11,manzana_25m12,manzana_25m13,manzana_25m14,manzana_25m15,manzana_25m16,manzana_25m17,manzana_25m18,manzana_25m19,manzana_25m20,manzana_25m21,manzana_25m22,manzana_25m23,manzana_25m24,manzana_25m25,manzana_25m26,manzana_25m27,manzana_25m28,manzana_25m29,manzana_25m30,manzana_25m31,manzana_25m32,manzana_25m33,manzana_25m34,manzana_25m35,manzana_25m36,manzana_25m37,manzana_25m38,manzana_25m39,manzana_25m40,manzana_25m41,manzana_25m42,manzana_25m43,manzana_25m44,manzana_25m45
228,7600110000000018010102,Polvorines,7600110000000018010171,7600110000000018030114,7600110000000018010169,7600110000000018010170,7600110000000018010106,7600110000000018010168,7600110000000018010126,7600110000000018010130,7600110000000018020204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010104,Sector Alto Jordán,7600110000000018010148,7600110000000018010159,7600110000000018010137,7600110000000018010136,7600110000000018010157,7600110000000018010149,7600110000000018010138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010105,Sector Alto Jordán,7600110000000018010133,7600110000000018010154,7600110000000018010135,7600110000000018010149,7600110000000018010157,7600110000000018010134,7600110000000018010152,7600110000000018010136,7600110000000018010148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010106,Sector Alto Jordán,7600110000000018010146,7600110000000018010126,7600110000000018010135,7600110000000018010102,7600110000000018010136,7600110000000018010134,7600110000000018010171,7600110000000018010158,7600110000000018010138,7600110000000018010111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010109,Sector Alto Jordán,7600110000000018010115,7600110000000018010145,7600110000000018140821,7600110000000018010144,7600110000000018140820,7600110000000018140817,7600110000000018010141,7600110000000018140823,7600110000000018140841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010111,Sector Alto Jordán,7600110000000018010131,7600110000000018010146,7600110000000018010171,7600110000000018010141,7600110000000018140714,7600110000000018140715,7600110000000018010106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010112,Sector Alto Jordán,7600110000000018010131,7600110000000018010113,7600110000000018140731,7600110000000018140751,7600110000000018010115,7600110000000018010141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010113,Sector Alto Jordán,7600110000000018010112,7600110000000018140841,7600110000000018010115,7600110000000018140816,7600110000000018140712,7600110000000018140705,7600110000000018140751,7600110000000018140731,7600110000000018140817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010115,Sector Alto Jordán,7600110000000018010109,7600110000000018010145,7600110000000018010113,7600110000000018010141,7600110000000018140817,7600110000000018140841,7600110000000018010112,7600110000000018010131,7600110000000018140820,7600110000000018140821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010118,Sector Alto Jordán,7600110000000018010162,7600110000000018010160,7600110000000018010138,7600110000000018010139,7600110000000018010159,7600110000000018010161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010122,Sector Alto Jordán,7600110000000018010133,7600110000000018010145,7600110000000018010140,7600110000000018010144,7600110000000018010146,7600110000000018010158,7600110000000018010134,7600110000000018010152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010126,Sector Alto Jordán,7600110000000018010130,7600110000000018010106,7600110000000018010136,7600110000000018010138,7600110000000018010102,7600110000000018010164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010130,Sector Alto Jordán,7600110000000018010126,7600110000000018010168,7600110000000018010102,7600110000000018010138,7600110000000018010164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010131,Sector Alto Jordán,7600110000000018010112,7600110000000018010111,7600110000000018010141,7600110000000018140731,7600110000000018010115,7600110000000018140715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010133,Sector Alto Jordán,7600110000000018010105,7600110000000018010122,7600110000000018010158,7600110000000018010154,7600110000000018010152,7600110000000018010134,7600110000000018010144,7600110000000018010135,7600110000000018010146,7600110000000018010140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010134,Sector Alto Jordán,7600110000000018010135,7600110000000018010158,7600110000000018010146,7600110000000018010133,7600110000000018010106,7600110000000018010105,7600110000000018010122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010135,Sector Alto Jordán,7600110000000018010136,7600110000000018010134,7600110000000018010105,7600110000000018010106,7600110000000018010146,7600110000000018010133,7600110000000018010148,7600110000000018010149,7600110000000018010158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010136,Sector Alto Jordán,7600110000000018010135,7600110000000018010104,7600110000000018010148,7600110000000018010138,7600110000000018010126,7600110000000018010106,7600110000000018010159,7600110000000018010149,7600110000000018010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010137,Sector Alto Jordán,7600110000000018010159,7600110000000018010148,7600110000000018010104,7600110000000018010150,7600110000000018010157,7600110000000018020225,7600110000000018010149,7600110000000018020226,7600110000000018020318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010138,Sector Alto Jordán,7600110000000018010163,7600110000000018010164,7600110000000018010162,7600110000000018010118,7600110000000018010136,7600110000000018010126,7600110000000018010160,7600110000000018010130,7600110000000018010159,7600110000000018010168,7600110000000018010166,7600110000000018010165,7600110000000018010161,7600110000000018010106,7600110000000018010167,7600110000000018010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010139,Sector Alto Jordán,7600110000000018010160,7600110000000018010168,7600110000000018010118,7600110000000018010159,7600110000000018010147,7600110000000018010161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010140,Sector Alto Jordán,7600110000000018010146,7600110000000018010122,7600110000000018010141,7600110000000018010145,7600110000000018010158,7600110000000018010133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010141,Sector Alto Jordán,7600110000000018010145,7600110000000018010140,7600110000000018010146,7600110000000018010115,7600110000000018010131,7600110000000018010111,7600110000000018010112,7600110000000018010109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,7600110000000018010142,Polvorines,7600110000000018030114,7600110000000018010169,7600110000000018020118,7600110000000018020117,7600110000000018020204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010143,Sector Alto Jordán,7600110000000018140842,7600110000000018010155,7600110000000018010152,7600110000000018010144,7600110000000018010156,7600110000000018140823,7600110000000018010151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010144,Sector Alto Jordán,7600110000000018010145,7600110000000018140823,7600110000000018010152,7600110000000018010143,7600110000000018140821,7600110000000018010109,7600110000000018010122,7600110000000018140842,7600110000000018010133,7600110000000018010156,7600110000000018010155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010145,Sector Alto Jordán,7600110000000018010144,7600110000000018010141,7600110000000018010122,7600110000000018010109,7600110000000018010115,7600110000000018010140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010146,Sector Alto Jordán,7600110000000018010140,7600110000000018010106,7600110000000018010158,7600110000000018010141,7600110000000018010134,7600110000000018010122,7600110000000018010111,7600110000000018010135,7600110000000018010171,7600110000000018010133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010147,Sector Alto Jordán,7600110000000018010159,7600110000000018020234,7600110000000018020230,7600110000000018020236,7600110000000018020233,7600110000000018010168,7600110000000018010139,7600110000000018020237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010148,Sector Alto Jordán,7600110000000018010104,7600110000000018010137,7600110000000018010149,7600110000000018010136,7600110000000018010157,7600110000000018010135,7600110000000018010105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010149,Sector Alto Jordán,7600110000000018010148,7600110000000018010157,7600110000000018010105,7600110000000018010136,7600110000000018010135,7600110000000018010137,7600110000000018010154,7600110000000018010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010150,Sector Alto Jordán,7600110000000018010157,7600110000000018010137,7600110000000018020318,7600110000000018020326,7600110000000018010159,7600110000000018020226,7600110000000018020225,7600110000000018020324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010151,Sector Alto Jordán,7600110000000018010155,7600110000000018010156,7600110000000018140842,7600110000000018010154,7600110000000018020327,7600110000000018020329,7600110000000018010152,7600110000000018020322,7600110000000018010143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010152,Sector Alto Jordán,7600110000000018010156,7600110000000018010144,7600110000000018010143,7600110000000018010155,7600110000000018010154,7600110000000018010133,7600110000000018010105,7600110000000018010122,7600110000000018010151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010154,Sector Alto Jordán,7600110000000018010156,7600110000000018010151,7600110000000018010152,7600110000000018010105,7600110000000018010133,7600110000000018020329,7600110000000018010157,7600110000000018020325,7600110000000018020343,7600110000000018010155,7600110000000018010149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010155,Sector Alto Jordán,7600110000000018010151,7600110000000018010143,7600110000000018140842,7600110000000018010156,7600110000000018010152,7600110000000018010154,7600110000000018010144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010156,Sector Alto Jordán,7600110000000018010154,7600110000000018010152,7600110000000018010151,7600110000000018010155,7600110000000018010143,7600110000000018010144,7600110000000018020329,7600110000000018140842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010157,Sector Alto Jordán,7600110000000018010150,7600110000000018020318,7600110000000018020325,7600110000000018010137,7600110000000018020324,7600110000000018010149,7600110000000018010148,7600110000000018010105,7600110000000018010154,7600110000000018020319,7600110000000018010159,7600110000000018010104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010158,Sector Alto Jordán,7600110000000018010146,7600110000000018010134,7600110000000018010133,7600110000000018010122,7600110000000018010140,7600110000000018010106,7600110000000018010135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010159,Sector Alto Jordán,7600110000000018010137,7600110000000018010104,7600110000000018010147,7600110000000018020225,7600110000000018020230,7600110000000018010136,7600110000000018020235,7600110000000018010150,7600110000000018010138,7600110000000018010118,7600110000000018010139,7600110000000018010168,7600110000000018020226,7600110000000018010157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,7600110000000018010160,Sector Alto Jordán,7600110000000018010118,7600110000000018010139,7600110000000018010162,7600110000000018010168,7600110000000018010161,7600110000000018010138,7600110000000018010164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
